id,name,type,status,day,month,year,manufacturer,manufacturer_abbr,user,user_abbr,proof,year_first_produced,directproof,fulldate
102,T-62M,Tanks,destroyed,27,1,25,Soviet Union,USSR,Russia,RU,https://postimg.cc/Znb1K3PP,1983,https://i.postimg.cc/Znb1K3PP/1033-T-62-M-destr-27-01-25.jpg,27/1/2025
103,T-62M,Tanks,destroyed,19,2,25,Soviet Union,USSR,Russia,RU,https://postimg.cc/bwYZbfD9,1983,https://i.postimg.cc/bwYZbfD9/1107-T-62-M-destr-19-02-25.jpg,19/2/2025
104,T-62M,Tanks,destroyed,21,3,25,Soviet Union,USSR,Russia,RU,https://postimg.cc/j2MttjkG,1983,https://i.postimg.cc/j2MttjkG/1053-T-62-M-destr-21-03-25.jpg,21/3/2025
105,T-62M,Tanks,destroyed,3,4,25,Soviet Union,USSR,Russia,RU,https://postimg.cc/kGm0xYbJ,1983,https://i.postimg.cc/kGm0xYbJ/1111-T-62-M-destr-03-04-25.jpg,3/4/2025
106,T-62M,Tanks,destroyed,15,1,25,Soviet Union,USSR,Russia,RU,https://postimg.cc/SNBsvgJ3,1983,https://i.postimg.cc/SNBsvgJ3/1032-T-62-M-destr-15-01-25.jpg,15/1/2025
107,T-62M,Tanks,destroyed,25,3,25,Soviet Union,USSR,Russia,RU,https://postimg.cc/gJDWVDws,1983,https://i.postimg.cc/gJDWVDws/1004-T-62-M-destr-25-03-25.jpg,25/3/2025
108,T-62M,Tanks,destroyed,30,10,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/4yyWP88B,1983,https://i.postimg.cc/4yyWP88B/1074-T-62-M-destr-30-10-24.jpg,30/10/2024
109,T-62M,Tanks,destroyed,7,6,25,Soviet Union,USSR,Russia,RU,https://postimg.cc/9QDWqt4W,1983,https://i.postimg.cc/9QDWqt4W/1003-T-62-M-destr-07-06-25.jpg,7/6/2025
110,T-62M,Tanks,destroyed,2,7,25,Soviet Union,USSR,Russia,RU,https://postimg.cc/sDhB4TDc,1983,https://i.postimg.cc/sDhB4TDc/1021-T-62-M-destr-02-07-25.jpg,2/7/2025
111,T-62M,Tanks,destroyed,9,7,25,Soviet Union,USSR,Russia,RU,https://postimg.cc/fb23qgxC,1983,https://i.postimg.cc/fb23qgxC/1012-T-62-M-destr-09-07-25.jpg,9/7/2025
112,T-62M,Tanks,destroyed,1,7,25,Soviet Union,USSR,Russia,RU,https://postimg.cc/3RycmjQ1,1983,https://i.postimg.cc/3RycmjQ1/1002-T-62-M-destr-01-07-25.jpg,1/7/2025
113,T-62M,Tanks,destroyed,18,7,25,Soviet Union,USSR,Russia,RU,https://postimg.cc/gkYQBFhN,1983,https://i.postimg.cc/gkYQBFhN/1009-T-62-M-destr-18-07-25.jpg,18/7/2025
114,T-62M,Tanks,damaged,,,,Soviet Union,USSR,Russia,RU,https://twitter.com/UAWeapons/status/1590474674999558145,1983,https://twitter.com/UAWeapons/status/1590474674999558145,
115,T-62M,Tanks,damaged,9,3,23,Soviet Union,USSR,Russia,RU,https://postimg.cc/QC25V0xC,1983,https://i.postimg.cc/QC25V0xC/1004-3-destr-BMP-2-2-destr-Kam-AZ-6x6-4-damaged-T-62-M-09-03-23.jpg,9/3/2023
116,T-62M,Tanks,damaged,9,3,23,Soviet Union,USSR,Russia,RU,https://postimg.cc/QC25V0xC,1983,https://i.postimg.cc/QC25V0xC/1004-3-destr-BMP-2-2-destr-Kam-AZ-6x6-4-damaged-T-62-M-09-03-23.jpg,9/3/2023
117,T-62M,Tanks,damaged,9,3,23,Soviet Union,USSR,Russia,RU,https://postimg.cc/QC25V0xC,1983,https://i.postimg.cc/QC25V0xC/1004-3-destr-BMP-2-2-destr-Kam-AZ-6x6-4-damaged-T-62-M-09-03-23.jpg,9/3/2023
118,T-62M,Tanks,damaged,9,3,23,Soviet Union,USSR,Russia,RU,https://postimg.cc/QC25V0xC,1983,https://i.postimg.cc/QC25V0xC/1004-3-destr-BMP-2-2-destr-Kam-AZ-6x6-4-damaged-T-62-M-09-03-23.jpg,9/3/2023
119,T-62M,Tanks,damaged,9,11,22,Soviet Union,USSR,Russia,RU,https://postimg.cc/DzKczbq7,1983,https://i.postimg.cc/DzKczbq7/1025-T-62-M-dam-09-11-22.jpg,9/11/2022
120,T-62M,Tanks,damaged,18,3,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/C17RhWt3,1983,https://i.postimg.cc/C17RhWt3/1105-t62m-dam-18-03-24.jpg,18/3/2024
121,T-62M,Tanks,damaged,6,4,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/Wpn8MjSF,1983,https://i.postimg.cc/Wpn8MjSF/1006-T-62-M-dam-06-04-24.jpg,6/4/2024
122,T-62M,Tanks,damaged,13,9,24,Soviet Union,USSR,Russia,RU,https://postimg.cc/85J24WHX,1983,https://i.postimg.cc/85J24WHX/1021-T-62-M-dam-13-09-24.jpg,13/9/2024
123,T-62M,Tanks,damaged and abandoned,21,12,23,Soviet Union,USSR,Russia,RU,https://postimg.cc/Jzf348Lr,1983,https://i.postimg.cc/Jzf348Lr/1021-t62m-dam-aband-21-12-23.jpg,21/12/2023
